nCores,confId,dataSize,time
16,seq_strong,1G,51.209039
16,seq_strong,1G,52.812349
8,seq_weak,1G,61.460471
8,seq_weak,1G,54.990551
16,seq_strong,5G,258.092553
16,seq_strong,5G,261.532265
8,seq_weak,5G,280.136886
8,seq_weak,5G,280.179743
16,seq_strong,10G,513.633703
16,seq_strong,10G,516.145535
8,seq_weak,10G,569.379933
8,seq_weak,10G,564.116379
32,hadoop_strong,1G,75.007
32,hadoop_strong,1G,74.912
32,hadoop_weak,1G,74.641
32,hadoop_weak,1G,71.307
32,hadoop_strong,5G,268.141
32,hadoop_strong,5G,267.773
32,hadoop_weak,5G,268.301
32,hadoop_weak,5G,269.672
32,hadoop_strong,10G,495.494
32,hadoop_strong,10G,491.062
32,hadoop_weak,10G,517.367
32,hadoop_weak,10G,510.255
